customer_id,company_name,plan_id,signup_date,churned_date,is_active
1,テック合同会社,2,2023-09-14,2024-01-01,0
2,グローバルシステムズ,2,2023-05-29,\N,1
3,デジタルワークス,3,2024-02-08,\N,1
4,未来ラボ,2,2024-03-04,\N,1
5,スマートソリューション,3,2023-04-15,\N,1
6,クラウドサービスA社,1,2024-05-10,\N,1
7,データドリブン,2,2023-10-16,2024-03-06,0
8,AIソリューション,1,2024-01-08,\N,1
9,Webマーケティング社,2,2023-07-14,\N,1
10,SaaS開発B社,1,2023-07-12,\N,1
11,エンジニアリングC社,3,2024-01-30,\N,1
12,プロダクトD社,1,2024-05-15,\N,1
13,セキュリティE社,2,2024-04-15,\N,1
14,IoT連携F社,1,2024-01-21,\N,1
15,モバイルG社,1,2024-05-05,\N,1
16,アナリティクスH社,3,2023-08-18,\N,1
17,自動化システムI社,2,2024-01-08,\N,1
18,プラットフォームJ社,1,2023-12-28,2024-09-28,0
19,コンサルK社,2,2023-10-24,\N,1
20,教育テックL社,3,2023-12-28,\N,1
21,ヘルスケアM社,2,2023-10-24,\N,1
22,フィンテックN社,2,2023-10-14,2023-12-21,0
23,リテールO社,1,2024-02-18,2024-07-18,0
24,物流テックP社,2,2023-11-08,2024-05-15,0
25,エネルギーQ社,3,2024-03-18,\N,1
26,人材テックR社,2,2024-03-20,\N,1
27,広告テックS社,1,2023-12-28,2024-09-28,0
28,建設テックT社,1,2023-09-28,\N,1
29,農業テックU社,2,2024-01-20,2024-10-09,0
30,旅行テックV社,1,2024-04-24,\N,1
31,メディアW社,3,2024-03-24,2024-06-14,0
32,スポーツテックX社,2,2023-11-25,2024-05-02,0
33,環境テックY社,3,2023-05-23,\N,1
34,宇宙テックZ社,1,2023-08-12,\N,1
35,ゲーム開発AA社,2,2023-06-22,2023-08-27,0
36,音楽テックBB社,1,2023-07-29,\N,1
37,フードテックCC社,2,2024-01-21,\N,1
38,ファッションDD社,2,2023-12-07,\N,1
39,不動産テックEE社,2,2023-05-23,\N,1
40,保険テックFF社,1,2024-01-02,\N,1
